id,name,eventType,eventUrl,startDate,endDate,city,state,country
2023-11-07_E1,Towards Universal Chemosensory Testing (TUCT 2023),hybrid conference,https://smellandtastetestingforall.monell.org/,2023-11-05,2023-11-07,Philadelphia,PA,United States of America
2023-09-21_E1,RADx-rad 2023 Conference,webinar,https://www.radxrad.org/event/radx-rad-2023-conference-final-conference/,2023-09-21,2023-09-21,,,
2023-08-15_E1,"RADx Data Hub: Making Datasets Findable and Accessible Using Digital Object Identifiers (DOIs), Compact URIs (CURIEs), and Other Identifiers",webinar,https://radx-hub.nih.gov/info/events,2023-08-15,2023-08-15,,,
2023-06-20_E1,Association of Environmental Engineering and Science Professors (AEESP) National Conference ,in-person conference,https://aeesp2023.sites.northeastern.edu/,2023-06-20,2023-06-23,Boston,MA,United States of America
2023-05-16_E1,RADx Data Hub: Privacy Protection: De-identifying Human Subject Data,webinar,https://radx-hub.nih.gov/info/events,2023-05-16,2023-05-16,,,
2023-04-27_E1,Pediatric Academic Society,in-person conference,https://www.pas-meeting.org/2023-homepage/,2023-04-27,2023-05-01,Washington,DC,United States of America
2022-11-05_E1,AMIA 2022 Annual Symposium,in-person conference,https://amia.org/education-events/amia-2022-annual-symposium,2022-11-05,2022-11-09,Washington,DC,United States of America
2022-11-18_E1,7th Annual MetaSUB Conference GLOBAL METAGENOMICS SUMMIT,in-person conference,http://metasub.org/2022-conference/,2022-11-18,2022-11-21,Miami Beach,FL,United States of America
2022-11-09_E1,American Society for Microbiology,in-person conference,,2022-11-09,2022-11-12,Washington,DC,United States of America
2022-10-20_E1,New York Immunology Conference,in-person conference,,2022-10-20,2022-10-20,Albany,NY,United States of America
2022-07-28_E1,The Pediatric Hospital Medicine (PHM 2022),in-person conference,https://www.emedevents.com/c/medical-conferences-2022/the-pediatric-hospital-medicine-phm-2022,2022-07-28,2022-07-31,Buena Vista,FL,United States of America
2022-05-27_E1,32nd Medical Informatics Europe Conference (MIE2022),in-person conference,https://efmi.org/2021/11/10/efmi-mie-2022-may-27th-30th-2022-nice-france/,2022-05-27,2022-05-30,Nice,PAC,France
2022-04-21_E1,Pediatric Academic Society (PAS 2022),in-person conference,https://www.pas-meeting.org/pas-2022/,2022-04-21,2022-04-25,Denver,CO,United States of America
2021-02-22_E1,RADx-rad Kickoff Webinar 2021,webinar,https://www.nih.gov/research-training/medical-research-initiatives/radx/events,2021-02-22,2021-02-22,,,
