id,name,url
RFA-OD-20-015,Emergency Awards: RADx-rad Wastewater Detection of SARS-COV-2 (COVID-19) (U01 - Clinical Trials Not Allowed),https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-015.html
RFA-OD-20-014,Emergency Awards: Automatic Detection and Tracing of SARS-CoV-2 (U01 Clinical Trial Not Allowed),https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-014.html
RFA-OD-20-023,Emergency Awards: RADx-rad Predicting Viral-Associated Inflammatory Disease Severity in Children with  Laboratory Diagnostics and Artificial Intelligence (PreVAIL kIds) (R61/R33 Clinical Trial Optional),https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-023.html
RFA-OD-20-020,"Emergency Awards RADx-RAD: Novel Biosensing for Screening, Diagnosis and Monitoring of COVID-19 From Skin and The Oral Cavity (R44 Clinical Trial Not Allowed)",https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-020.html
RFA-HL-13-008,The NIH Centers for Accelerated Innovations (U54),https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-13-008.html
RFA-OD-20-018,Emergency Awards: Exosome-based Non-traditional Technologies Towards Multi-Parametric and Integrated Approaches for SARS-CoV-2 (U18 Clinical Trial Not Allowed),https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-018.html
RFA-OD-20-021,"Emergency Awards RADx-RAD: Novel Biosensing for Screening, Diagnosis and Monitoring of COVID-19 From Skin and The Oral Cavity (Fast-Track STTR Clinical Trial Not Allowed)",https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-021.html
RFA-OD-20-017,Emergency Awards RADx-RAD: Screening for COVID-19 by Electronic-Nose Technology (SCENT) (U18 Clinical Trial Not Allowed),https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-017.html
RFA-OD-20-016,Emergency Awards: RADx-RAD Multimodal COVID-19 surveillance methods for high risk clustered populations (R01 Clinical Trial Optional),https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-016.html
RFA-OD-20-022,Emergency Awards: Chemosensory Testing as a COVID-19 Screening Tool (U01 Clinical Trial Optional),https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-022.html
RFA-OD-19-014,NIH Research Evaluation and Commercialization Hubs (REACH) Awards (U01 Clinical Trial Not Allowed),https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-19-014.html
PA-20-272,Administrative Supplements to Existing NIH Grants and Cooperative Agreements (Parent Admin Supp Clinical Trial Optional),https://grants.nih.gov/grants/guide/pa-files/PA-20-272.html
RFA-OD-20-019,Emergency Awards: RADx-rad Data Coordination Center (DCC) (U24 Clinical Trial Not Allowed),https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-019.html
PA-18-484,NIH Research Project Grant (Parent R01 Clinical Trial Not Allowed),https://grants.nih.gov/grants/guide/pa-files/PA-18-484.html
PA-20-135,Emergency Competitive Revision to Existing NIH Awards (Emergency Supplement - Clinical Trial Optional),https://grants.nih.gov/grants/guide/pa-files/PA-20-135.html
PA-21-268,Change of Recipient Organization (Type 7 Parent Clinical Trial Optional),https://grants.nih.gov/grants/guide/pa-files/PA-21-268.html
