from,to,isContactPi
1877373,U01DC019578,true
16392635,U01DC019578,false
9436729,R01MD016526,true
10320851,R33HD105594,false
9198778,R33HD105594,true
11288941,R01DE031114,true
10450719,U24LM013755,false
1900244,U24LM013755,true
9603016,U24LM013755,false
1862128,R01NR020105,true
1862771,R01DK130067,false
9942278,R01DK130067,false
2264716,R01DK130067,true
77827345,U01AA029348,false
12225947,U01AA029348,true
1897028,U01HL152410,true
7086603,U01HL152410,false
10129440,U01DA053899,true
8553912,U01AA029331,true
8485696,U18TR003812,true
8485057,U18TR003812,false
77816868,U01AA029328,true
2563052,R61HD105593,false
7039414,R61HD105593,true
6787050,R61HD105593,false
10046004,R61HD105593,false
8857241,U01AA029324,true
78421272,R44DE030842,true
7989301,R61HD105590,true
77859447,U01DA053949,false
9733196,U01DA053949,true
77871541,R61HD105591,false
1913135,R61HD105591,false
10394059,R61HD105591,false
6763646,R61HD105591,false
16231045,R61HD105591,true
6570860,ZIAES103366,true
2431709,R61HD105613,false
1861871,R61HD105613,false
6786579,R61HD105613,true
14417875,U18TR003807,false
8892513,U18TR003807,false
9896788,U18TR003807,false
12364332,U18TR003807,true
10379550,U01DA053941,false
9136437,U01DA053941,false
11165737,U01DA053941,true
8668731,U01AA029345,true
77827345,U01AA029348,true
12225947,U01AA029348,false
11435055,U18TR003793,false
8956784,U18TR003793,true
10349485,U18TR003780,true
8656449,R44DE030841,false
9445541,R44DE030841,true
10833925,U01DA053976,true
7698522,U01DA053976,false
77858219,U01DA053976,false
10311819,U01DA053903,true
2050145,U18TR003795,true
7745756,U18TR003795,false
77820001,U01DA053893,true
10807170,U18TR003787,true
9972311,U18TR003787,false
8012149,U01AA029316,true
11273504,U01AA029316,false
9493483,U18TR003778,false
6951767,U18TR003778,false
6390810,U18TR003778,true
12081117,U18TR003778,false
1861255,R61HD105619,false
11457621,R61HD105619,false
6601712,R61HD105619,true
8547915,U18TR003775,true
9845089,U01HL150852,false
6406851,U01HL150852,false
1891108,U01HL150852,true
9717053,R01MD016526,true
6625336,U01DC019579,true
14228211,R61HD105610,false
9832700,R61HD105610,true
9502968,R61HD105610,false
8667619,R61HD105618,true
14135419,R61HD105618,false
8717080,R61HD105618,false
12255899,R61HD105618,false
7698522,U01LM013129,false
8952899,U01LM013129,true
14431376,U01LM013129,false
6417303,U01HL152401,true
77861758,R44DE030852,true
2191319,R42DE030829,true
7680168,U01DC019573,false
9451051,U01DC019573,false
6293772,U01DC019573,true
10938548,U18TR003807,false
15312069,R42DE030832,true
1858811,U54HL119145,false
1876423,U54HL119145,true
8614812,U54HL119145,false
1896926,R01DC016112,true
15877233,U01HL152410,false
